study,pubmed.id,country,authors,title,publication,doi,email,year,Study,UniqueStudy,Etiology,lingual,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,Handedness,MRI Machine,Coils,MRI Tesla,Flip Angle,Repitition Time(ms),Echo Time (ms),Inversion Time (ms) ,NumberExcitations(NEX),AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,FWHM,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,SummaryLeaning,MeanControl,SDControl,MeanHL,SDHL,Z score,F test,t-value,P-value,ClusterSize,DoubleChecked,References,ScopusCitations
Shiell et al. Neural Plasticity,26885405,Canada,"Shiell MM, Champoux F, Zatorre RJ.",The right hemisphere planum temporale supports enhanced visual motion detection ability in deaf people the right hemisphere planum temporale supports enhanced visual motion detection ability in deaf people.,Neural Plasticity 2016: 7217630.,https://doi.org/10.1155/2016/7217630,francois.champoux@umontreal.ca; martha.shiell@mail.mcgill.ca; Robert.Zatorre@mcgill.ca ,2016,18,10,congenital,Prelingual,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,Mix/Match,Siemens Trio,32 Channel,3,,2300,2.98,,,256,256,72,2,,MP-RAGE,T1,CT,15,,FreeSurfer,,,,,occipital,calcarine sulcus,left,Thickness,GM+WM,,,increase,0.4658,0.2268,,,,,,,,,0.23,,y,y,y
Shiell et al. Neural Plasticity,26885405,Canada,"Shiell MM, Champoux F, Zatorre RJ.",The right hemisphere planum temporale supports enhanced visual motion detection ability in deaf people the right hemisphere planum temporale supports enhanced visual motion detection ability in deaf people.,Neural Plasticity 2016: 7217630.,https://doi.org/10.1155/2016/7217630,francois.champoux@umontreal.ca; martha.shiell@mail.mcgill.ca; Robert.Zatorre@mcgill.ca ,2016,18,10,congenital,Prelingual,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,Mix/Match,Siemens Trio,32 Channel,3,,2300,2.98,,,256,256,72,2,,MP-RAGE,T1,CT,15,,FreeSurfer,,,,,occipital,calcarine sulcus,right,Thickness,GM+WM,,,increase,0.1496,0.0746,,,,,,,,,0.693,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,,SE-EPI,SE-EPI,DTI,,45,FMRIB,-25,-57,15,,cingulate cortex,Bilateral forceps major,left,FA,WM,,,increase,1.4516,0.5874,,,,,,,,,5E-05,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,,SE-EPI,SE-EPI,DTI,,45,FMRIB,47,-22,3,,temporal lobe,superior temporal,right,FA,WM,,,decrease,1.4268,0.5808,,,,,,,,,6E-05,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,,SE-EPI,SE-EPI,DTI,,45,FMRIB,23,-15,0,,thalmus,internal capsule,right,FA,WM,,,decrease,1.4821,0.5954,,,,,,,,,4E-05,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,,SE-EPI,SE-EPI,DTI,,45,FMRIB,38,-23,31,,tract,superior longitudinal fasciculus,right,FA,WM,,,decrease,1.5791,0.6197,,,,,,,,,2E-05,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,,SE-EPI,SE-EPI,DTI,,45,FMRIB,-38,27,15,BA46,tract,inferior fronto-occipital fasciculus,left,FA,WM,,,decrease,1.5791,0.6197,,,,,,,,,2E-05,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,-37,-29,8,BA41,temporal lobe,STG,left,volume,WM,,,decrease,1.4493,0.5868,,,,,,,,4.64,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,55,-19,2,BA41,temporal lobe,STG,right,volume,WM,,,decrease,1.3493,0.5593,,,,,,,,4.32,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,-34,-14,-11,,temporal lobe,temporal sub-gyral ,left,volume,WM,,,decrease,1.3743,0.5663,,,,,,,,4.4,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,37,-21,-13,BA54,temporal lobe,temporal sub-gyral ,right,volume,WM,,,decrease,1.112,0.4859,,,,,,,,3.56,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,-25,-38,54,,parietal,parietal lobe,left,volume,WM,,,decrease,1.3775,0.5672,,,,,,,,4.41,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,-15,41,33,,frontal,superior frontal,left,volume,WM,,,decrease,1.4019,0.5532,,,,,,,,4.2,,,y,y,y
Kim et al. Neuroreport,19491709,Korea,"Kim DJ, Park SY, Kim J, Lee DH, Park HJ.",Alterations of white matter diffusion anisotropy in early deafness.,Neuroreport. 2009 Jul 15;20(11):1032-6.,https://doi.org/10.1097/wnr.0b013e32832e0cdd, parkhj@yuhs.ac; hjpark0@gmail.com,2009,19,11,congenital,Prelingual,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,256,256,182,1.2,,RARE,T1,VBM,,45,SPM,-14,63,3,BA10,frontal,medial frontal,left,volume,WM,,,decrease,1.3785,0.5468,,,,,,,,4.13,,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,47,-18,6,BA41,temporal lobe,STG,right,FA,WM,,,decrease,0.839,0.3868,,,,,,,,,0.008,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,-43,-24,7,BA41,temporal lobe,STG,left,FA,WM,,,decrease,0.839,0.3868,,,,,,,,,0.008,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,42,-18,-8,,temporal lobe,temporal lobe WM,right,FA,WM,,,decrease,0.839,0.3868,,,,,,,,,0.008,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,14,-10,-8,,thalmus,internal capsule,right,FA,WM,,,decrease,0.8109,0.3757,,,,,,,,,0.01,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,23,-24,4,,thalmus,thalmus,right,FA,WM,,,decrease,0.8109,0.3757,,,,,,,,,0.01,,y,y,y
Kim et al. Neuroreport,28885484,Korea,"Kim J, Choi JY, Eo J, Park HJ.",Comparative evaluation of the white matter fiber integrity in patients with prelingual and postlingual deafness.,Neuroreport. 2017 Nov 8;28(16):1103-1107,https://doi.org/10.1097/wnr.0000000000000894,parkhj@yuhs.ac; hjpark0@gmail.com,2017,20,11,congenital,Prelingual,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,Right,Philips,,3,,7.384,60,,,128,128,70,2,22,SE-EPI,SE-EPI,DTI,,45,FMRIB,0,-34,21,,cingulate cortex,splenium of corpus callosum,bilateral,FA,WM,,,decrease,0.8557,0.3933,,,,,,,,,0.007,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,thalmus,left,Thickness,GM+WM,,,decrease,0.1767,0.088,,5.83,0.989,5.676,0.735,,,-0.49,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,thalmus,right,Thickness,GM+WM,,,increase,0.2784,0.1378,,6.078,0.958,5.806,0.996,,,0.773,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,thalmus,asymmetry,asymmetry,GM+WM,rightward,rightward,increase,0.0206387194,0.0103188103,decreased rightward leaning,-0.04165,0.9735,-0.02264,0.8655,,,,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,pulvinar,left,Thickness,GM+WM,,,decrease,0.8269,0.3821,,1.498,0.323,1.235,0.313,,,-2.303,0.05,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,pulvinar,right,Thickness,GM+WM,,,decrease,0.2737,0.1356,,1.458,0.396,1.358,0.331,,,-0.759,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,pulvinar,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,0.357300734,0.1758659447,increased rightward leaning,0.0270635995,0.3595,-0.094870806,0.322,,,,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,LGN,left,Thickness,GM+WM,,,decrease,0.7916,0.368,,0.274,0.092,0.214,0.055,,,-2.174,0.05,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,LGN,right,Thickness,GM+WM,,,decrease,0.2127,0.1058,,0.25,0.088,0.235,0.045,,,-0.602,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,LGN,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,2.5431519416,0.7860466055,increased rightward leaning,0.0916030534,0.09,-0.0935412027,0.05,,,,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,MGN,left,Thickness,GM+WM,,,decrease,0.1389,0.0693,,0.115,0.019,0.111,0.036,,,-0.37,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,MGN,right,Thickness,GM+WM,,,decrease,0.228,0.1133,,0.116,0.034,0.109,0.267,,,-0.596,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,MGN,asymmetry,asymmetry,GM+WM,rightward,leftward ,increase,0.2467958337,0.1224690189,increased leftward leaning,-0.0086580087,0.0265,0.0181818182,0.1515,,,,,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,SC,left,Thickness,GM+WM,,,decrease,0.2186,0.1086,,0.176,0.038,0.117,0.035,,,-4.489,0.001,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,SC,right,Thickness,GM+WM,,,decrease,1.2462,0.5288,,0.171,0.034,0.128,0.035,,,-3.482,0.01,,y,y,y
Amaral et al. Eur J Neurosci,27421820,China,"Amaral L, Ganho-Ávila A, Osório A, Soares MJ, He D, Chen Q, Mahon BZ, Gonçalves OF, Sampaio A, Fang F, Bi Y, Almeida J.",Hemispheric asymmetries in subcortical visual and auditory relay structures in congenital deafness.,Eur J Neurosci. 2016 Sep;44(6):2334-9.,https://doi.org/10.1111/ejn.13340,Jorge Almeida: jorgealmeida@fpce.uc.pt ,2016,21,12,congenital,Prelingual,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,Right,Siemens Trio,,3,7,2530,3.39,,,256,256,144,1.33,,MP-RAGE,T1,VBM,,,FreeSurfer,,,,,thalmus,SC,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,3.3409182757,0.8580081289,increased rightward leaning,0.0288184438,0.036,-0.0897959184,0.035,,,,,,y,y,y
