Checked-RK,Checked-FAM,study,year,Study,UniqueStudy,Etiology,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,MRI Tesla,AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA4,Primary Motor Cortex,Handknob ,left,volume,GM+WM,,,increase,0.3551,0.1748,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA5,Primary Motor Cortex,Handknob ,right,volume,GM+WM,,,decrease,0.3834,0.1883,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA6,Primary Motor Cortex,Handknob ,asymmetry,asymmetry,GM+WM,rightward,leftward ,increase,0.5874,0.0294,increased leftward leaning
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-50,-18,11,BA41,temporal lobe,HG,left,volume,WM,,,decrease,0.8671,0.3977,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-54,-27,22,BA40,parietal,SMG,left,volume,GM,,,decrease,0.7291,0.3425,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-60,-20,5,BA41,temporal lobe,STG,left,volume,WM,,,decrease,0.8809,0.4031,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-12,-68,-25,,cerebellum,posterior medial,left,volume,WM,,,decrease,0.8828,0.4038,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-13,13,74,BA6,frontal,SFG,left,volume,GM,,,increase,0.8335,0.3847,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-38,-37,14,BA41,temporal lobe,HG,left,volume,GM,,,increase,2.8575,0.8193,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,66,-17,6,BA41,temporal lobe,HG,left,volume,WM,,,increase,2.8968,0.8229,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,75,-5,-7,,frontal,perisylvian,right,volume,GM,,,decrease,5.2025,0.9334,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,66,-17,-6,BA22,frontal,perisylvian,right,volume,WM,,,decrease,3.9807,0.8936,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-11,-111,-3,BA18,occipital,occipital,left,volume,GM,,,increase,2.5421,0.7859,
,,Shibata DK. AJNR Am J Neuroradiol,2007,4,2,congenital,bilateral,profound,53,34,19,21,,18,27,,,,,,,,,ASL,51,31,20,25,,19,32,1.5,512,512,,1.5,24,SPGR,T1,VBM,,SPM,-18,-59,-17,BA19,occipital,occipital,left,volume,WM,,,increase,3.2909,0.8546,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,,,,,Total Cortex,Total Cortex,bilateral,Thickness,WM/GM,,,decrease,0.7061,0.3329,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,-59,6,23,BA6,Primary Motor Cortex,precentral gyrus,left,Thickness,GM,,,decrease,1.8966,0.6881,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,31,-34,67,BA4,somatosensory,postcentral gyrus,right,Thickness,GM,,,decrease,1.7565,0.6599,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,-19,-96,16,BA17,occipital,superior occipital gyrus,left,Thickness,GM,,,decrease,1.5662,0.6165,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,-28,-5,-38,BA20,Inferior temporal lobe,fusiform gyrus,left,Thickness,GM,,,decrease,1.4261,0.5806,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,-30,17,36,,frontal,middle frontal gyrus,left,Thickness,WM,,,decrease,2.4319,0.7724,
,,Li et al. Brain Res,2012,5,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,3D IR-Pre FSPGR PSD,,CT,,CIVET,39,-81,-6,BA19,occipital,inferior occipital gyrus,right,Thickness,WM,,,decrease,2.1373,0.7302,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,-5,-27,23,,corpus callosum,corpus callosum,left,FA,WM,,,decrease,0.8495,0.3909,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,52,-7,-6,BA22,temporal lobe,STG/HG,right,FA,WM,,,decrease,0.8431,0.3884,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,-47,-23,-1,BA22,temporal lobe,STG/HG,left,FA,WM,,,decrease,0.8308,0.3836,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,36,-14,-13,,external capsule,external capsule,right,FA,WM,,,decrease,0.8308,0.3836,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,20,-20,-6,,thalmus,thalmus,right,FA,WM,,,decrease,0.8308,0.3836,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,53,116,60,,temporal lobe,STG/HG,right,RD,WM,,,increase,0.7748,0.3612,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,95,99,95,,corpus callosum,corpus callosum,right,RD,WM,,,increase,0.8308,0.3836,
,,Miao et al. AJNR Am J Neuroradiol ,2013,6,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,SPGR,T1,CT,,,134,-103,76,,temporal lobe,STG/HG,left,RD,WM,,,increase,0.7705,0.3595,
,,Liu et al. Chin J Med Img Tech,2010,7,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,HG,left,FA,WM,,,decrease,0.7387,0.3464,
,,Liu et al. Chin J Med Img Tech,2010,7,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,HG,right,FA,WM,,,decrease,0.7387,0.3464,
,,Liu et al. Chin J Med Img Tech,2010,7,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,optic radiation,optic radiation,left,FA,WM,,,decrease,0.7387,0.3464,
,,Liu et al. Chin J Med Img Tech,2010,7,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,optic radiation,optic radiation,right,FA,WM,,,decrease,0.7387,0.3464,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA41,temporal lobe,HG,bilateral,volume,GM,,,decrease,0.2536,0.1258,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,STG,bilateral,volume,GM,,,decrease,0.2186,0.1086,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,MTG,bilateral,volume,GM,,,decrease,0.1097,0.0548,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,ITG,bilateral,volume,GM,,,increase,0.0097,0.0049,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,temporal lobe,temporal lobe,bilateral,volume,GM,,,decrease,0.2282,0.1133,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA44,frontal,pars opercularis,bilateral,volume,GM,,,decrease,0.0678,0.0338,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA45,frontal,pars triangularis,bilateral,volume,GM,,,decrease,0.2626,0.1302,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA47,frontal,Pars orbitalis ,bilateral,volume,GM,,,decrease,0.6515,0.3097,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA40,parietal,supramarginal gyrus,bilateral,volume,GM,,,decrease,0.2469,0.1225,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,BA17,occipital,cuneus,bilateral,volume,GM,,,decrease,0.4427,0.2161,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,Inferior temporal lobe,fusiform gyrus,bilateral,volume,GM,,,decrease,0.4411,0.2154,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,occipital,Lateral occipital cortex ,bilateral,volume,GM,,,decrease,0.1005,0.0502,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,occipital,lingual gyrus,bilateral,volume,GM,,,decrease,0.3757,0.1846,
,,Li et al. Restor Neurol Neurosci,2015,8,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,CT,,,,,,,parietal,precuneus,bilateral,volume,GM,,,decrease,0.735,0.3449,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,45,-58,-55,,cerebellum,cerebellar hemisphere ,right,volume,GM,,,increase,1.6336,0.6326,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-46,-59,-56,,cerebellum,cerebellar hemisphere ,left,volume,GM,,,increase,1.4397,0.5842,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-62,-10,7,BA42,temporal lobe,HG,left,volume,GM,,,increase,1.2522,0.5307,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-8,-57,-19,,cerebellum,cerebellar hemisphere ,left,volume,GM,,,increase,1.2045,0.5159,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-10,-89,11,BA18,occipital,occipital,left,volume,GM,,,decrease,1.4302,0.5817,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-37,-67,-16,BA19,occipital,fusiform gyrus,left,volume,GM,,,decrease,1.3031,0.5459,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,9,-89,16,BA18,occipital,occipital,right,volume,GM,,,decrease,1.2586,0.5326,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,27,-23,51,BA4,frontal,primary motor cortex,right,volume,GM,,,decrease,1.2395,0.5268,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,14,36,17,BA9,frontal,prefrontal cortex,right,volume,WM,,,decrease,1.7035,0.6484,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-6,35,5,BA24,cingulate,anterior cingulate,left,volume,WM,,,decrease,1.4143,0.5774,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-12,51,-5,BA10,frontal,prefrontal cortex,left,volume,WM,,,decrease,1.3253,0.5524,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,-15,-93,-2,BA18,occipital,occipital cortex,left,volume,WM,,,decrease,1.3062,0.5468,
,,"Li, et al. J Clin Rad",2010,9,3,congenital,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,1.5,256,256,196,1,24,FSPG,T1,VBM,,,29,50,-9,BA10,frontal,prefrontal cortex,right,volume,WM,,,decrease,1.2745,0.5374,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,,frontal,gyrus rectus ,asymmetry,asymmetry,GM,,,increase,0.8472,0.39,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,,cerebellum,cerebellum,left,Thickness,GM,,,increase,0.047,0.0239,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,14,-35,-14,,cerebellum,cerebellum,right,Thickness,GM,,,increase,0.9037,0.4117,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,-4,-28,31,BA23,cingulate cortex,posterior cingulate gyrus ,left,Thickness,GM,,,increase,1.0173,0.4534,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA23,cingulate cortex,posterior cingulate gyrus ,right,Thickness,GM,,,decrease,0.5208,0.252,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,-5,38,-27,BA11,frontal,gyrus rectus ,left,Thickness,GM,,,increase,0.986,0.4422,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA11,frontal,gyrus rectus ,right,Thickness,GM,,,decrease,1.0493,0.4646,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA1,parietal,precuneus,left,Thickness,GM,,,decrease,0.4332,0.2117,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,7,-40,62,BA1,parietal,precuneus,right,Thickness,GM,,,increase,1.6227,0.63,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA9,frontal,middle frontal gyrus,left,Thickness,GM,,,decrease,1.24,0.5269,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,38,37,34,BA9,frontal,middle frontal gyrus,right,Thickness,GM,,,increase,0.1588,0.0791,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA11,frontal,superior frontal gyrus,left,Thickness,GM,,,decrease,1.0476,0.464,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,16,49,-18,BA11,frontal,superior frontal gyrus,right,Thickness,GM,,,decrease,0.9869,0.4452,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,,,,BA7,occipital,middle occipital gyrus ,left,Thickness,GM,,,decrease,0.3864,0.1897,
,,Li et al. Restor Neurol Neurosci,2013,10,3,mixed,bilateral,profound,16,8,8,14.56,2.1,10,18,107.35,8.095,109.31,8.01,93–120,105.38,8.18,90–120,CSL,16,8,8,14.75,2.38,10,18,3,256,256,196,1,24,FSPG,T1,VBM,,,29,-73,39,BA7,occipital,middle occipital gyrus ,right,Thickness,GM,,,increase,1.1537,0.4997,
